"ID","Status","Project","Product","Short_Name","Description","Access","Documentation","Version","DOI","Variable","Start","End","Region","Polygon","Released","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6","EO_Missions"
14,"Planned","AlpGlacier","Glacier surface flow velocity_SwissAlps_S1/2","glacier-surface-flow-velocity-alpglacier","Glacier surface flow velocity. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",,"https://onlinelibrary.wiley.com/doi/10.1002/esp.5194",,,"Glacier motion","2016.01.01","2016.12.31","Switzerland","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"Sentinel-1; Sentinel-2"
15,"Planned","AlpGlacier","Dynamics of glacier lakes_SwissAlps_S1/2","dynamics-of-glacier-lakes-alpglacier","Dynamics of glacier lakes. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",,"https://onlinelibrary.wiley.com/doi/10.1002/esp.5195",,,"Glacier motion","2016.01.01","2016.12.31","Switzerland","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"Sentinel-1; Sentinel-2"
16,"Planned","AlpGlacier","Slope instabilities in glacier forefields_SwissAlps_S1/2","slope-instabilities-glacier-forefields-alpglacier","Slope instabilities in glacier forefields. Most of the database has been submitted to Pangaea, where the submission is being processed. Some parts of the database fall under the copyright of the Swiss national institute for topography and were therefore only provided as point shapefiles instead of polygons. All the necessary information to reconstruct the study are provided.",,"https://onlinelibrary.wiley.com/doi/10.1002/esp.5196",,,"Glacier motion","2016.01.01","2016.12.31","Switzerland","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"Sentinel-1; Sentinel-2"
17,"Planned","AlpSnow","Snow area extent for European Alps_Multimission","snow-area-europe-alps-alpsnow","Snow area extent for European Alps","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511108",,,"Snow cover",,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
18,"Planned","AlpSnow","Snow albedo for European Alps_Multimission","snow-albedo-europe-alps-alpsnow","Snow albedo for European Alps. Upcoming Product","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511109",,,"Earth surface albedo",,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
19,"Planned","AlpSnow","Snow water equivalent for European Alps_Multimission","snow-water-equivalent-europe-alps-alpsnow","Snow water equivalent for European Alps. Upcoming Product","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511110",,,"Snow water equivalent",,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
20,"Planned","AlpSnow","Snow depth for European Alps_Multimission","snow-depth-europe-alps-alpsnow","Snow depth for European Alps. Upcoming Product","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511111",,,"Snow depth",,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
21,"Planned","AlpSnow","Snow grain size for European Alps_Multimission","snow-grain-europe-alps-alpsnow","Snow grain size for European Alps. Upcoming Product","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511112",,,"Snow cover",,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
22,"Planned","AlpSnow","Snow liquid water content (wet snow) for European Alps_Multimission","snow-liquid-water-europe-alps-alpsnow","Snow liquid water content (wet snow) for European Alps. Upcoming Product","https://alpsnow.enveo.at/publications.html","https://ieeexplore.ieee.org/document/9511113",,,"Snow water equivalent",,,"Europe","[[[5.95591129,45.81799493],[10.49229402,45.81799493],[10.49229402,47.80846475],[5.95591129,47.80846475],[5.95591129,45.81799493]]]","Planned","Cryosphere",,,,,,"MODIS; Sentinel-2; Landsat-8"
23,"ONGOING","AnREO: Retrieval of Total Ozone using OLCI-S-3 over Antarctica","Total ozone product from OLCI / S-3_Antarctica _S3","total-ozone-anreo","The total ozone column (TOC) is derived by the team using the top-of-atmosphere measurements of the Ocean and Land Colour Instrument (OLCI) on board Sentinel-3 A/B. OLCI operates in the spectral range 400-1020nm. The TOC has been derived using Sentinel-3 OLCI Level 1 product at full resolution (300m). This is the first attempt to derive the total ozone column at such high spatial resolution. The team also created a cloud mask, a snow mask and an atmospheric correction procedure.The OLCI ozone processor is planned to be delivered to ESA in April 2021 providing the ozone research community with a total ozone product from OLCI / S-3 in Antarctica and also over other snow-covered areas including Greenland.","https://www.vitrocisetbelgium.com/news/retrieval-total-ozone-over-antarctica-using-ocean-and-land-colour-instrument-board-sentinel","https://eo4society.esa.int/wp-content/uploads/2021/05/AnREO_Final-Report.pdf",,"https://doi.org/10.1016/j.jqsrt.2021.107903","O3 Total Column","2019.01.01","2020.12.31","Antarctica","[[[-180,-83],[180,-83],[180,-60],[-180,-60],[-180,-83]]]","2021.12.01","Atmosphere",,,,,,"Sentinel-3"
24,"ONGOING","Arctic + Salinity","Sea Surface Salinity L2 orbits and L3 maps (V.3.1) _Arctic_SMOS","sea-surface-salinity-arctic-salinity","Arctic sea surface salinity retrieved from SMOS, spatial resolution 0.25 deg (EASE grid 2.0), temporal resolution 9-day maps generated daily. The product contains the following data: i) sea surface salinity (p.s.u), ii) sea surface salinity uncertainty (p.s.u), and iii) sea surface salinity anomaly (p.s.u) : difference between sea surface salinity provided by SSS field and the annual sea surface salinity provided by WOA 2018 A5B7. Product version 3.1.  The product will be freely distributed at the BEC webpage http://bec.icm.csic.es and at the project webpage https://arcticsalinity.argans.co.uk.","https://digital.csic.es/handle/10261/219679","https://arcticsalinity.argans.co.uk/documentation/","3,1","https://doi.org/10.20350/digitalCSIC/12620","Sea surface salinity","2011.01.01","2019.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2021.01.21","Oceans","Cryosphere",,,,,"SMOS"
25,"ONGOING","ARCTIC+ THEME 3 â€“ FRESH WATER FLUXES","Ocean freshwater fluxes_Arctic_Multimission","ocean-freshwater-flux-arctic-theme3","Estimates of these four freshwater fluxes: discharge from rivers; inflow through ice and melt run off; outflow of freshwater in sea ice; and in/outflow of freshwater through ocean currents.",,"https://link.springer.com/chapter/10.1007%2F1345_2019_75",,"https://doi.org/10.1007/1345_2019_75","River discharge","2014.01.01","2017.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2019.07.17","Cryosphere",,,,,,Sentinel-1; Sentinel-2; Sentinel-3; CryoSat-2; ICESat; GRACE; SMOS; ENVISAT; ERS-1; ERS-2; SARAL/ALtiKa; Jason-1; Jason-2
26,"ONGOING","ArcticSummIT: Arctic Summer Ice Thickness","Sea ice and physical oceanography_Arctic_CryoSat-2 Baseline-C Level 1b waveform observations","sea-ice-phys-ocean-lpf-arcticsummit","This dataset presents monthly gridded sea ice and ocean parameters for the Arctic derived from the European Space Agency's satellite CryoSat-2. Parameters include sea ice freeboard, sea ice thickness, sea ice surface roughness, mean sea surface height, sea level anomaly, and geostrophic circulation.","https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/01257","https://data.bas.ac.uk/metadata.php?id=GB/NERC/BAS/PDC/01257",,"https://doi.org/10.5285/cbd2cf78-462a-4968-be20-05f9c125ad10","Sea-ice thickness","2021.01.01","2021.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2019.11.14","Cryosphere",,,,,,"CryoSat-2"
27,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","PTA-RES:Â Extracted Target Locations_Baltics_Multimission","target-locations-baltics-sar-hsu","The files contain the extracted target range and azimuth location(s) from point target analysis. Multiple targets may be summarized in one file as noted by the header. Data blocks are repeated for each target. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/PTA-RES.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
28,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","SAR-OBS:Â SAR Observation Solution_Baltics_Multimission","sar-observation-solution-baltics-sar-hsu","Time series of range and azimuth standard deviations Ïƒr and Ïƒa, provided by the variance component estimation and observation residuals. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-OBS.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
29,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","SAR-POS:Â SAR Positioning Solution_Baltics_Multimission","sar-positioning-solution-baltics-sar-hsu","Time series of coordinates of the SAR target as X, Y, Z coordinates in the ITRF2014 and uncertainties ÏƒX,ÏƒY,ÏƒZ,ÏƒXY,ÏƒXZ,ÏƒYZ, derived from the variance-covariance matrix. Confidence ellipsoid from eigenvalue and eigenvector decomposition of the variance-covariance-matrix scaled to a 95% confidence level. In case external reference coordinates for the same target are also available (e.g. from a terrestrial survey), the Î”Xx,y,z coordinate differences are computed. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-POS.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
30,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","SL-ABS:Â Absolute Sea Level Heights_Baltics_Multimission","absolute-sea-level-heights-baltics-sar-hsu","Time series of absolute sea level heights of tide gauge stations involved in the project BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU). Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SL-ABS.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
31,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","TG-HGT: Tide Gauge Heights_Baltics_Multimission","tide-gauge-heights-baltics-sar-hsu","Time series of unified physical heights of tide gauge stations. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/TG-HGT.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
32,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","TG-SSH:Â Corrected Sea Surface Height at Tide Gauge Stations_Baltics_Multimission","sea-surface-heights-corrected-baltics-sar-hsu","Time series of corrected sea surface heights observed at tide gauges with respect to the tide gauge benchmark with hourly temporal resolution. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/TG-SSH.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
33,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","PTA-OBS:Â SAR Raw Measurements_Baltics_Multimission","sar-raw-measurements-baltics-sar-hsu","The observation file is generated from the point target analysis file (PTA-RES). Processor specific corrections are applied to range and azimuth during file generation, representing the raw SAR measurements. Multiple targets may be summarized in one file. Data blocks for different targets are placed side by side organized by dates. If a target is unavailable or detected an outlier (low SCR), the entries are set to 9. Note on SWST: differential corrections are applied if the SWST became updated in the S-1 SAR processor, i.e. range measurements based on previous configurations are corrected in order to match the latest value applied in processing. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/PTA-OBS.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
34,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","GNSS-POS:Â GNSS positioning solution_Baltics_Multimission","gnss-positioning-solution-baltics-sar-hsu","Time series of coordinates of the GNSS stations as X, Y, Z coordinates in the ITRF2014 and uncertainties. Confidence ellipsoid from eigenvalue and eigenvector decomposition of the variance-covariance-matrix scaled to a 95% confidence level. In case external reference coordinates for the same target are also available (e.g. from a terrestrial survey), the coordinate differences are computed. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/GNSS-POS.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
35,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","GEO-HGT:Â Geoid Heights_Baltics_Multimission","geoid-heights-baltics-sar-hsu","Geoid heights with mean epoch 2020.5 for the tide gauge stations. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/GEO-HGT.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
36,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","COR-TD:Â Tropospheric Delays_Baltics_Multimission","tropospheric-delays-baltics-sar-hsu","The tropospheric correction files are generated from PTA-OBS and VMF3. Tropospheric delays are stored as 1-way path delay in units of meters. In order to apply them to the range observations, they need to be scaled by 2/c, with c denoting speed of light in vacuum. Multiple targets may be summarized in one file. Data blocks for different targets are placed side by side organized by dates. If a target is unavailable or detected an outlier (low SCR), the entries are set to 9. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/COR-TD.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
37,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","COR-SC:Â Sentinel-1 SystematicÂ Effects Corrections_Baltics_Multimission","s1-corrections-baltics-sar-hsu","Sensor specific calibration constants (S1A, S1B) are stored in dedicated calibration files. The numbers need to be applied to the raw range and azimuth observations to ensure unbiased observations. The numbers primarily account for SAR payload internal signal delays and have been inferred from S1A and S1B measurements of the long term stable corner reflector installed at MetsÃ¤hovi geodetic observatory. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/COR-SC.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
38,"ONGOING","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","COR-ID:Â Ionospheric Delays_Baltics_Multimission","ionospheric-delays-baltics-sar-hsu","The ionospheric correction files are generated from PTA-OBS and IGS-TEC. Ionospheric delays are stored as 1-way path delay in units of meters. In order to apply them to the range observations, they need to be scaled by 2/c, with c denoting speed of light in vacuum. Multiple targets may be summarized in one file. Data blocks for different targets are placed side by side organized by dates. If a target is unavailable or detected an outlier (low SCR), the entries are set to 9. Product details available at: https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/SAR-HSU-TN-0019_Dataset_User_Manual.pdf","https://www.asg.ed.tum.de/fileadmin/w00cip/iapg/Baltic/COR-ID.zip",,,,"Sea surface height anomaly","2020.01.01","2020.12.31","Baltics","[[[9.0405918788,53.8666553578],[31.3371258934,53.8666553578],[31.3371258934,66.1535071282],[9.0405918788,66.1535071282],[9.0405918788,53.8666553578]]]","2021.07.07","Oceans",,,,,,"GOCE; Sentinel-1; GPS; GLONAS"
