"Project_ID","Status","Project_Name","Short_Name","Short_Description","Website","Eo4Society_link","Consortium","Start_Date_Project","End_Date_Project","TO","TO_E-mail","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6"
11,"COMPLETED","AKROSS: Altimetric Ku-Band Radar Observations Simulated with SMRT","AKROSS","Determining how snow properties affect the sea ice thicknes measurements from radar altimetry","https://akross.space","https://eo4society.esa.int/projects/akross/","CORES SCIENCE AND ENGINEERING LIMIT (GB), UNIVERSITY OF NORTHUMBRIA AT NEWCAS (GB), WSL Swiss Federal Institute for Forest, Snow and Landscape Research (CH)",17.02.2020,01.10.2021,"Jerome Bouffard","jerome.bouffard@esa.int","Cryosphere",,,,,
12,"ONGOING","ALBATROSS - ALtimetry for BAthymetry and TideRetrievals for the Southern Ocean, Sea ice and ice Shelves","ALBATROSS","Improve the knowledge on bathymetry around Antarctica, considering decade-long most recently reprocessed CryoSat datasets, innovative information on bathymetry gradient location through the analysis of sea ice surface roughness characteristics, and the compilation of the best available datasets in ice-shelf regions.","https://albatross.noveltis.fr/","https://eo4society.esa.int/projects/albatross/","NOVELTIS SAS (FR), MULLARD SPACE SCIENCE LABORATORY-UNIVERSITY COLLEGE LONDON (GB), NORWEGIAN POLAR INSTITUTE (NO), Technical University of Denmark (DK)",01.05.2021,01.05.2023,"Jerome Benveniste","jerome.benveniste@esa.int","Cryosphere",,,,,
13,"COMPLETED","ALBIOM (ALtimetry for BIOMass)","ALBIOM","Derive forest biomass using SAR Altimetry Data from the Copernicus Sentinel-3 (S3) Mission.","https://eo4society.esa.int/projects/albiom/","https://eo4society.esa.int/projects/albiom/","DEIMOS SPACE UK LTD (GB), Sapienza University of Rome (IT),UNIV II ROMA TOR VERGATA (IT)",16.10.2019,06.11.2020,"Jerome Benveniste","jerome.benveniste@esa.int","Land",,,,,
14,"COMPLETED","AlpGlacier","AlpGlacier","The Glacier Science in the Alps project is part of the Alps Regional Initiative and is aimed at maximising the scientific return of European investments in EO specifically from Sentinel-1 and Sentinel-2 specifically to provide first enhanced observation capacity for glaciers in the Alps beyond area to glacier velocity and end of season snow cover on a weekly-annual basis and second to provide a scientifically sound assessment of hazard state as a direct function of glacier change, specifically, lake size and slope movement around glaciers. This project attempts to provide a wall-to-wall coverage of glaciers in the Alps for the full Sentinel era and will analyse changes taking place in this time period and in contrast with earlier data from the EO archives.","https://alpglacier.geo.uzh.ch/","https://eo4society.esa.int/projects/alpglacier/","UNIVERSITY OF ZURICH (CH), CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) (FR), EAWAG (CH), EIDGENOSSISCHE TECHNISCHE HOCHSCHULE ZURICH (ETH ZURICH) (CH), ENVEO â€“ ENVIRONMENTAL EARTH OBSERVATION GMBH (AT), GAMMA REMOTE SENSING AG (CH), UNIV PADOVA (IT)",07.12.2020,25.06.2021,"Stephen Plummer","stephen.plummer@esa.int","Cryosphere",,,,,
15,"ONGOING","AlpSnow","AlpSnow","Develop improved products for a number of snow parameters (area extent, albedo, grain size, depth, snow water equivalent, snow melt area and wetness).","https://alpsnow.enveo.at","https://eo4society.esa.int/projects/alpsnow/","ENVEO â€š ENVIRONMENTAL EARTH OBSERVATION GMBH (AT),WSL Swiss Federal Institute for Forest, Snow and Landscape Research (CH), UNIVERSITY OF EDINBURGH (GB), UNIV INNSBRUCK (AT), Environmental Protection Agency of (IT), EURAC RESEARCH â€š ACCADEMIA EUROPEA (IT), DLR â€š GERMAN AEROSPACE CENTER (DE), CENTRAL INSTITUTE FOR METEOROLOGY AND GEODYNAMICS (AT)",20.10.2020,01.12.2022,"Espen Volden","espen.volden@esa.int","Cryosphere",,,,,
16,"COMPLETED","AnREO: Retrieval of Total Ozone using OLCI-S-3 over Antarctica","AnREO","Develop a total ozone product for Ocean and Land Colour Instrument (OLCI) on board Sentinel 3 A,B.","https://www.vitrocisetbelgium.com/news/retrieval-total-ozone-over-antarctica-using-ocean-and-land-colour-instrument-board-sentinel","https://eo4society.esa.int/2021/09/07/retrieval-of-total-ozone-at-300m-resolution-over-antarctica-using-s3-olci/","VITROCISET BELGIUM SPRL (BE)",25.03.2020,05.07.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
17,"COMPLETED","Arctic + Salinity","Arctic + Salinity","Sea surface salinity measurements by L-band radiometry satellites SMOS and SMAP for the Arctic: algorithm development, long term data set production, quantification of the freshwater fluxes through SSS products","http://arcticsalinity.argans.co.uk","https://eo4society.esa.int/projects/arctic-salinity/","ARGANS LIMITED (GB), AGENCIA ESTATAL CONSEJO SUPERIOR DE (ES), NANSEN ENVIRONMENTAL AND REMOTE SENSING CENTER (NO)",16.10.2018,30.04.2020,"Diego Fernandez","diego.fernandez@esa.int","Oceans","Cryosphere",,,,
18,"COMPLETED","ARCTIC+ THEME 3 â€“ FRESH WATER FLUXES","ArcFlux","The overarching project objectiveis threefold: 1) Supporting the development of novel products and enhanced data sets responding to the needs of the Arctic science community;2) Fostering new scientific results addressing the main priority areas of Arctic research;3) Preparing a solid scientific basis for larger activities addressing the priorities of the Arctic science community; This shall involve the collaborationamong the different scientific communities involved in Arctic process studies, modellers and EO experts.","https://eo4society.esa.int/projects/arctic-theme-3-fresh-water-fluxes-arcflux/","https://eo4society.esa.int/projects/arctic-theme-3-fresh-water-fluxes-arcflux/","Technical University of Denmark (DK), CNRS â€“ DELEGATION REGIONALE MIDI-PYRENEE (FR), ENVEO â€“ ENVIRONMENTAL EARTH OBSERVATION GMBH (AT)",25.06.2016,01.03.2018,"Diego Fernandez","diego.fernandez@esa.int","Cryosphere",,,,,
19,"COMPLETED","Arctic+Snow on Sea Ice","Arctic+Snow on Sea Ice","The study aimed at exploring, developing and validating different approaches to retrieve snow thickness over sea ice; to develop a new prototype processor; and to produce and validate an experimental dataset of snow thickness over the Arctic.","https://www.isardsat.space/project/arctic-snow","https://eo4society.esa.int/projects/arctic-snow-on-sea-ice/","ISARDSAT SP. Z O.O. (PL), FINNISH METEOROLOGICAL INSTITUTE (FI), MULLARD SPACE SCIENCE LABORATORY-UNIVERSITY COLLEGE LONDON (GB), UNIVERSITY OF YORK, CENTRE FOR RESEARCH IN EARTH AND SPACE SCIENCE (CA)",12.07.2016,30.09.2018,"Ola Grabak","ola.grabak@esa.int","Cryosphere",,,,,
20,"COMPLETED","ArcticSummIT: Arctic Summer Ice Thickness","(LPF) ArcticSummIT","Using new techniques to measure pan-Arctic sea ice thickness from the satellite radar altimeter Cryosat-2 during summer months","https://eo4society.esa.int/projects/arcticsummit-arctic-summer-ice-thickness/","https://eo4society.esa.int/projects/arcticsummit-arctic-summer-ice-thickness/","UNIVERSITY OF BRISTOL (GB)",16.10.2018,31.10.2020,"Anca Anghelea","anca.anghelea@esa.int","Cryosphere",,,,,
21,"COMPLETED","ARKTALAS HOAVVA PROJECT","ARKATLAS","Quantitative multi-scale (temporal and spatial) understanding of sea ice, ocean and atmosphere interactive processes and their mutual feedback, focusing on four Arctic Scientific research Challenges: Arctic Amplification, open water on sea ice dynamics, impact of extreme event storms in sea-ice formation, Artcic ocean spin-up","http://arktalas.nersc.no/","https://eo4society.esa.int/projects/arktalas-hoavva-project/","Nansen Environmental and Remote Sensing Center Norway, IFREMER France, OceanDataLab  France, NOVELTIS France",16.05.2019,30.07.2021,"Craig James Donlon","craig.donlon@esa.int","Oceans","Cryosphere",,,,
22,"COMPLETED","Baltic- reconstruction of the sea level","Baltic+ Sea Level","Create and validate a novel multi-mission sea level product to improve the performances of the current state-of-the-art of the ESA efforts in the Sea Level Climate Change Initiative (SL_cci)","http://balticseal.eu/","https://eo4society.esa.int/projects/baltic-seal-sea-level/","TECHNICAL UNIVERSITY OF MUNICH (DE), DANISH METEOROLOGICAL INSTITUTE (DK), FINNISH METEOROLOGICAL INSTITUTE (FI), Technical University of Denmark (DK), UNIVERSITY COLLEGE CORK (IE)",01.01.2019,01.01.2021,"Jerome Benveniste","jerome.benveniste@esa.int","Oceans",,,,,
23,"COMPLETED","BALTIC+ Geodetic SAR for Baltic Height System Unification (SAR-HSU)","SAR-HSU","Geodetic SAR for connecting tide gauges to the GNSS network; GOCE based high resolution geoid at tide gauge stations; Compatibility of geometric and physical reference frames","https://www.bgu.tum.de/iapg/baltic/","https://eo4society.esa.int/projects/sar-hsu/","TECHNICAL UNIVERSITY OF MUNICH (DE), LANTMATERIET (SE), NLS FINNISH GEOSPATIAL RESEARCH INS (FI), Space Research Centre, Polish Academy of Sciences (CBK-PAN) (PL), TALLINNA TEHNIKAâˆšÃºLIKOOL (EE), Technical University of Denmark (DK)",05.03.2019,31.10.2020,"Nuno Miranda","nuno.miranda@esa.int","Oceans",,,,,
24,"COMPLETED","BALTIC+ Salinity Dynamics","BALTIC+ Salinity Dynamics","Study the potential benefit of incorporating satellite-derived Sea Surface Salinity (SSS) measurements into oceanographic and environmental applications within the Baltic Sea","http://balticsalinity.argans.co.uk/","https://eo4society.esa.int/projects/baltic-salinity-dynamics/","ARGANS FRANCE (FR),AGENCIA ESTATAL CONSEJO SUPERIOR DE (ES),FINNISH METEOROLOGICAL INSTITUTE (FI)",04.12.2018,31.08.2019,"Diego Fernandez","diego.fernandez@esa.int","Oceans",,,,,
25,"COMPLETED","BALTIC+ Sea-Land biogeochemical linkages (SeaLaBio)","BALTIC+ Sea-Land","Develop methods for assessing carbon dynamics and eutrophication in the Baltic Sea through integrated use of EO, models, and ground-based data","https://www.syke.fi/projects/BalticSeaLaBio","https://eo4society.esa.int/projects/baltic-sea-land-biogeochemical-linkages-sealabio/","FINNISH ENVIRONMENT INSTITUTE (SYKE) (FI),BROCKMANN CONSULT GMBH (DE),BROCKMANN GEOMATICS SWEDEN AB (HEAD (SE),Leibniz Institute for Baltic Sea Re (DE),SOLVO (FR)",14.12.2018,31.05.2020,"Diego Fernandez","diego.fernandez@esa.int","Oceans","Land",,,,
26,"COMPLETED","BALTIC+ SEAL - Sea Level","BALTIC+ SEAL - Sea Level","Providing a consistent description of the sea level variability in the Baltic Sea area in terms of seasonal and inter-annual variation and put the results in relationship with the forcing associated with this variability, using a developed dedicated coastal altimetry product","http://balticseal.eu/","https://eo4society.esa.int/projects/baltic-seal-sea-level/","TECHNICAL UNIVERSITY OF MUNICH (DE),DANISH METEOROLOGICAL INSTITUTE (DK),FINNISH METEOROLOGICAL INSTITUTE (FI),TECHNICAL UNIVERSITY OF DENMARK (DK),UNIVERSITY COLLEGE CORK (IE)",06.02.2019,30.09.2020,"Jerome Benveniste","jerome.benveniste@esa.int","Oceans",,,,,
27,"COMPLETED","BathySent - An Innovative Method to Retrieve Global Coastal Bathymetry from Sentinel-2","BathySent","Development of an automated method for mapping coastal bathymetry (water depths) on the basis of Copernicus Sentinel-2 mission","https://www.bathysent.org","https://eo4society.esa.int/projects/an-innovative-method-to-retrieve-global-coastal-bathymetry-from-sentinel-2/","BUREAU DE RECHERCHES GEOLOGIQUES ET MINIERES (BRGM) (FR, CLOUDFERRO SP Z O. (PL),HELLENIC CENTRE FOR MARINE RESEARCH (HCMR) (GR)",07.05.2018,15.06.2019,"Espen Volden","espen.volden@esa.int","Oceans",,,,,
28,"ONGOING","Biological Pump and Carbon Exchange Processes","BICEP","The ocean carbon cycle is a vital part of the global carbon cycle. It has been estimated that around a quarter of anthropogenically-produced emissions of CO2, caused from the burning of fossil fuels and land use change, have been absorbed by the ocean. On the other hand, significant advances have been made recently to expand and enhance the quality of a wide range of Remote Sensing based products capturing different aspects of the ocean carbon cycle. Building on recommendations made in a series of recent meetings and reports, on ESA lead initiatives and projects and on other relevant international programmes, the objective of the BICEP project is to bring these developments together into an holistic exercise to further advance our capacity to better characterise from a synergetic use of space data, in-situ measurements and model outputs, the different components of the ocean biological carbon pump, its pools and fluxes, its variability in space and time and the understanding of its processes and interactions with the earth system. To achieve this goal, the BICEP project will first synthesise the current state of knowledge in the field and produce a consolidated set of scientific requirements that define the products to be generated, as well as how these products will be evaluated and used to produce an enhanced BICEP dataset. Major emphasis will be placed on developing unified products to ensure that the carbon budgets made are in balance. Uncertainties in the derived products will also be quantified. A large in situ dataset of ocean carbon pools and fluxes will be created, to be used to evaluate and select the algorithms, with a focus on five key test sites, representative of the range of conditions in the global ocean. Using these selected algorithms, a 20-year time series of data will be generated, built through application of the selected algorithms to the ESA OC-CCI time series, a merged, bias-corrected ocean-colour data record explicitly designed for long-term analysis. The dataset will be used as input to a novel, satellite-based characterisation of the ocean biological carbon pump, quantifying the pools and fluxes, how they vary in time and space, and how they compare with ocean model estimates. The satellite-based Ocean Biological Cabon Pump analysis will then be placed in the context of carbon cycling in other domains of the Earth System, through engagement with Earth System modellers and climate scientists. Finally, a workshop will be organized, to be used as a vehicle to engage the international community in a discussion on how the BICEP work could be pushed forward, and integrated with results from other components of the ocean carbon cycle (e.g. CO2 air-flux and ocean acidification) not covered in the project, and how the representation of satellite-based ocean carbon work could be further improved in the context of large international Earth System analysis, such as the Global Carbon Project and assessments made within the International Panel of Climate Change (IPCC). The proposed work will be delivered by a consortium of twelve international Institutes, led by the Plymouth Marine Laboratory (PML, Plymouth, UK) and composed of top-level scientists, with collective expertise on Remote Sensing, statistical modelling, ocean carbon cycling, theoretical ecology and Earth System science.","https://bicep-project.org/Home","https://eo4society.esa.int/projects/bicep/","PLYMOUTH MARINE LABORATORY (GB),FINNISH METEOROLOGICAL INSTITUTE (FI),HELLENIC CENTRE FOR MARINE RESEARCH (HCMR) (GR),HYGEOS (FR),NATIONAL AND KAPODISTRIAN UNIVERSIT (GR),UNIVERSITY OF EXETER (GB),UNIVERSITY OF OXFORD (GB)",09.12.2019,31.08.2023,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
29,"COMPLETED","BIOMASCAT: Assessing vegetation carbon dynamics from multi-decadal spaceborne observations","BIOMASCAT","Developing a more comprenensive approach to the inforamtion gap by combining SAR and scatterometer data collected since the early 1990s to estiamte biomass properties","https://eo4society.esa.int/projects/biomascat/","https://eo4society.esa.int/projects/biomascat/","GAMMA REMOTE SENSING AG (CH), MAX PLANCK INSTITUTE FOR BIOGEOCHEMISTRY (DE)",05.09.2018,31.12.2021,"Marcus Engdahl","marcus.engdahl@esa.int","Land",,,,,
30,"ONGOING","CASSIS (Climate Altimetric Studies with Sea Ice and Snow)","(LPF) CASSIS","This project aims to demonstrate: the use of radar echo processing methods (also called â€˜retrackersâ€™) based on physical models instead of current heuristic models; the use of new snow depth observation products (dual-frequency altimetry, Advanced Microwave Scanning Radiometer, AMSR); a better quantification of uncertainties in sea ice products.","https://eo4society.esa.int/projects/cassis/","https://eo4society.esa.int/projects/cassis/","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) (FR)",01.11.2020,30.10.2022,"Stephen Plummer","stephen.plummer@esa.int","Cryosphere",,,,,
31,"COMPLETED","CITYSATAIR","CITYSATAIR","Develop and demonstrate a methodology that is capable of exploiting the various available data sources of urban air quality, to combine them in a mathematically objective and scientifically meaningful manner, and to provide value-added maps of urban air quality at high spatial resolution.","https://citysatair.nilu.no/","https://eo4society.esa.int/projects/citysatair/","KNMI (NL),NILU - NORWEGIAN INSTITUTE FOR AIR RESEARCH (NO)",01.07.2020,15.07.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
32,"COMPLETED","CLIMATE DATA RECORD OF STRATOSPHERIC AEROSOLS (CREST)","CREST","Elaborate methods to merge aerosol extinction coefficient records from solar/lunar/stellar occultation and limb-scatter instruments and create a merged longterm multi-mission aerosol record. The objective is to increase the reliability of the data set by including multiple instruments measuring similar atmospheric quantities in the post-SAGE II period.","https://eo4society.esa.int/projects/crest/","https://eo4society.esa.int/projects/crest/","FINNISH METEOROLOGICAL INSTITUTE (FI),ENIPOWER SPA (IT)",23.06.2020,25.05.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
33,"COMPLETED","Contribution of Swarm data to the prompt detection of Tsunamis and other natural hazards  (COSTO)","COSTO","The main objective of COSTO (Contribution of Swarm data to the prompt detection of Tsunamis and other natural hazards) project is to better characterize, understand and discover coupling processes and interactions between the ionosphere/magnetosphere, the lower atmosphere and the Earthâ€™s surface and sea level vertical displacements. The proposed research effort targets to tsunamis that are the result of earthquakes, volcano eruptions or landslides. An early warning for tsunami occurrence, and especially an estimation of the amplitude of a tsunami are still a challenge.","http://costo.uwm.edu.pl","https://eo4society.esa.int/projects/costo/","UNIVERSITY OF WARMIA AND MAZURY IN (PL), NATIONAL OBSERVATORY OF ATHENS (GR), TECHNICAL UNIVERSITY OF MUNICH (DE), UNIVERSITAT POLITECNICA DE CATALUNYA (ES)",22.02.2019,28.10.2020,"Roger Haagmans","roger.haagmans@esa.int","Solid Earth","Magnetosphere_Ionosphere",,,,
34,"COMPLETED","CryoSat Plus For Oceans (CP4O)","CryoSat+ Oceans","Exploitation of CryoSat-2 data over the open and coastal ocean","http://www.satoc.eu/projects/CP4O/","https://eo4society.esa.int/projects/cryosat-ocean/","SATELLITE OCEANOGRAPHIC CONSULTANTS LTD. (GB), NATURAL ENVIRONMENT RESEARCH COUNCIL (GB), NOVELTIS SAS (FR), STARLAB BARCELONA SL (ES), TU DELFT (NL), Technical University of Denmark (DK), UNIVERSITY OF PORTO â€š FACULTY OF SCIENCE (PT), isardSAT (ES)",05.06.2012,15.05.2018,"Jerome Benveniste","jerome.benveniste@esa.int","Oceans","Cryosphere",,,,
